Sales doc.	SaTy	SOrg.	DChl	Dv	SOff.	SGrp	Created on	Time	Created by	Net value	Curr.
145452023	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	08:05:17	RSBATCH	18228,00	CZK
238178399	ZOR	HU01	1	1	HU01	E-M	02.08.2018	09:44:24	E0654669	42116,00	HUF
145457964	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:15:40	E0653803	9566,56	CZK
238188025	ZOR	HU01	1	1	HU01	E-M	02.08.2018	12:55:14	E0654669	31938,00	HUF
238180914	ZOR	PL01	1	1	PL01	E-M	02.08.2018	09:02:37	E0651686	1194,44	PLN
145459221	ZOR	PL01	1	1	PL01	E-M	02.08.2018	12:38:59	E0651686	332,73	PLN
145459642	ZOR	HU01	1	1	HU01	E-M	02.08.2018	12:44:51	E0654669	170000,00	HUF
145461203	ZOR	PL01	1	1	PL01	INT	02.08.2018	13:01:08	RSBATCH	147,04	PLN
238178412	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	09:34:56	E0653803	11,47	EUR
145460353	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:35:06	RSBATCH	1117,12	CZK
145456181	ZOR	PL01	1	1	PL01	INT	02.08.2018	10:16:02	RSBATCH	504,52	PLN
238186916	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:45:33	E0651686	46,91	PLN
238186585	ZOR	PL01	1	1	PL01	E-M	02.08.2018	10:20:38	E0651686	720,77	PLN
145456132	ZOR	HU01	1	1	HU01	E-M	02.08.2018	10:24:56	E0654669	219000,00	HUF
145456105	ZOR	PL01	1	1	PL01	INT	02.08.2018	10:15:59	RSBATCH	398,70	PLN
145460067	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:30:25	RSBATCH	636,84	PLN
238178368	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	09:13:57	E0653803	2132,10	CZK
238186591	ZOR	PL01	1	1	PL01	E-M	02.08.2018	10:25:20	E0651686	185,86	PLN
145459291	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:37:00	E0653803	277,44	CZK
238183344	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:56:02	E0050029	55,20	PLN
145449884	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	07:30:13	E0653803	8099,42	CZK
238178394	ZOR	HU01	1	1	HU01	E-M	02.08.2018	09:07:38	E0654669	19091,00	HUF
145460523	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:45:17	RSBATCH	410,55	PLN
145458136	ZOR	PL01	1	1	PL01	E-P	02.08.2018	11:43:23	E0653640	182,23	PLN
145453003	ZOR	HU01	1	1	HU01	E-P	02.08.2018	08:40:23	RSBATCH	8400,00	HUF
145465547	ZOR	HU01	1	1	HU01	E-P	02.08.2018	14:50:14	RSBATCH	365461,00	HUF
238180736	ZOR	PL01	1	1	PL01	E-M	02.08.2018	05:42:30	E0651686	382,35	PLN
145453172	ZOR	HU01	1	1	HU01	INT	02.08.2018	08:45:56	RSBATCH	15738,00	HUF
145453149	ZOR	PL01	1	1	PL01	INT	02.08.2018	08:45:56	RSBATCH	524,50	PLN
145461919	ZOR	HU01	1	1	HU01	INT	02.08.2018	14:21:28	E0654669	31230,00	HUF
145463162	ZOR	PL01	1	1	PL01	INT	02.08.2018	14:22:32	E0653640	585,76	PLN
238180753	ZOR	PL01	1	1	PL01	E-M	02.08.2018	06:17:14	E0651686	39,90	PLN
145449947	ZOR	HU01	1	1	HU01	E-P	02.08.2018	06:10:16	RSBATCH	27445,00	HUF
238178212	ZOR	HU01	1	1	HU01	E-M	02.08.2018	06:25:00	E0654669	750,00	HUF
145453731	ZOR	PL01	1	1	PL01	INT	02.08.2018	09:00:47	RSBATCH	632,46	PLN
145461306	ZOR	HU01	1	1	HU01	INT	02.08.2018	13:05:17	RSBATCH	88104,00	HUF
145463206	ZOR	HU01	1	1	HU01	INT	02.08.2018	14:28:00	E0654669	9256,00	HUF
145450811	ZOR	PL01	1	1	PL01	INT	02.08.2018	07:10:30	RSBATCH	303,30	PLN
145458342	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:30:42	RSBATCH	48,73	PLN
145454123	ZOR	PL01	1	1	PL01	INT	02.08.2018	09:16:23	RSBATCH	147,96	PLN
145458184	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:25:10	RSBATCH	349,60	PLN
145460545	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:24:14	E0651686	405,90	PLN
145462198	ZOR	PL01	1	1	PL01	INT	02.08.2018	13:25:06	RSBATCH	1063,14	PLN
145450141	ZOR	HU01	1	1	HU01	INT	02.08.2018	10:55:52	E0654669	16419,00	HUF
238178480	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	11:06:15	E0653803	4829,20	CZK
145458954	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	11:50:19	RSBATCH	8450,58	CZK
145453024	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:53:34	E0653640	34,06	PLN
145462583	ZOR	PL01	1	1	PL01	INT	02.08.2018	13:35:12	RSBATCH	173,33	PLN
145457865	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:02:49	E0653803	13368,84	CZK
145458504	ZOR	HU01	1	1	HU01	INT	02.08.2018	11:55:14	RSBATCH	69385,00	HUF
238188036	ZOR	HU01	1	1	HU01	E-M	02.08.2018	13:38:05	E0654669	16000,00	HUF
145458332	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:30:46	RSBATCH	37,36	PLN
145463535	ZOR	HU01	1	1	HU01	E-P	02.08.2018	14:15:57	RSBATCH	8677,00	HUF
238182377	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	10:09:24	E0650948	1081,97	CZK
145462995	ZOR	PL01	1	1	PL01	INT	02.08.2018	13:46:13	RSBATCH	544,78	PLN
145450510	ZOR	PL01	1	1	PL01	INT	02.08.2018	06:55:19	RSBATCH	112,92	PLN
145450720	ZOR	HU01	1	1	HU01	INT	02.08.2018	07:05:26	RSBATCH	63825,00	HUF
145458630	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	11:38:20	E0653803	955,00	CZK
145452038	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:49:23	E0653640	183,84	PLN
238186574	ZOR	PL01	1	1	PL01	E-M	02.08.2018	10:15:35	E0651686	832,40	PLN
145456930	ZOR	HU01	1	1	HU01	INT	02.08.2018	12:01:15	E0654669	36265,00	HUF
145453937	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:07:39	E0653640	1506,00	PLN
145457140	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:18:02	E0653640	237,76	PLN
145462145	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	13:53:47	E0653803	3204,99	CZK
145462693	ZOR	CZ01	1	1	CZ01	TEL	02.08.2018	13:54:23	E0653803	1300,06	CZK
145463021	ZOR	HU01	1	1	HU01	E-P	02.08.2018	13:55:14	RSBATCH	69934,00	HUF
145450451	ZOR	HU01	1	1	HU01	INT	02.08.2018	07:20:15	RSBATCH	40307,00	HUF
238183049	ZOR	PL01	1	1	PL01	TEL	02.08.2018	07:21:37	E0050029	336,78	PLN
238186944	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:57:19	E0651686	0,00	PLN
238183060	ZOR	PL01	1	1	PL01	E-M	02.08.2018	07:48:06	E0050029	6849,06	PLN
238180824	ZOR	PL01	1	1	PL01	E-M	02.08.2018	07:50:45	E0651686	75,10	PLN
145456645	ZOR	PL01	1	1	PL01	E-M	02.08.2018	10:31:32	E0651686	5789,78	PLN
238183351	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:58:37	E0050029	94,75	PLN
145459014	ZOR	PL01	1	1	PL01	INT	02.08.2018	14:00:12	E0653640	767,58	PLN
145451187	ZOR	HU01	1	1	HU01	INT	02.08.2018	08:13:09	E0654669	34648,00	HUF
145449816	ZOR	PL01	1	1	PL01	INT	02.08.2018	06:01:00	RSBATCH	674,96	PLN
145466537	ZOR	HU01	1	1	HU01	INT	02.08.2018	15:20:15	RSBATCH	17650,00	HUF
145451746	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	07:55:12	RSBATCH	4375,86	CZK
145463918	ZOR	PL01	1	1	PL01	PM	02.08.2018	14:10:08	RSBATCH	216,80	PLN
238178342	ZOR	HU01	1	1	HU01	E-M	02.08.2018	08:32:53	E0654669	828334,00	HUF
145457655	ZOR	HU01	1	1	HU01	INT	02.08.2018	11:10:25	RSBATCH	15829,00	HUF
238186668	ZOR	PL01	1	1	PL01	E-M	02.08.2018	11:18:53	E0651686	97,08	PLN
145460247	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:03:10	E0050029	3204,16	PLN
145450919	ZOR	PL01	1	1	PL01	INT	02.08.2018	07:15:51	RSBATCH	831,27	PLN
145454270	ZOR	PL01	1	1	PL01	INT	02.08.2018	09:20:11	RSBATCH	65,90	PLN
238178435	ZOR	HU01	1	1	HU01	E-M	02.08.2018	10:14:48	E0654669	88686,00	HUF
238188006	ZOR	HU01	1	1	HU01	E-M	02.08.2018	11:51:18	E0654669	37540,00	HUF
145461668	ZOR	HU01	1	1	HU01	INT	02.08.2018	13:25:06	RSBATCH	27335,00	HUF
145449407	ZOR	PL01	1	1	PL01	INT	02.08.2018	07:25:12	E0651686	135,58	PLN
145455396	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:09:01	E0653640	40,91	PLN
145456229	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:16:11	E0653640	256,42	PLN
145450706	ZOR	HU01	1	1	HU01	INT	02.08.2018	07:20:14	RSBATCH	114162,00	HUF
145459115	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:00:41	RSBATCH	205,20	PLN
145458096	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:22:01	E0653803	2374,93	CZK
238188033	ZOR	HU01	1	1	HU01	E-M	02.08.2018	13:23:02	E0654669	98452,00	HUF
145465234	ZOR	PL01	1	1	PL01	INT	02.08.2018	14:40:08	RSBATCH	430,60	PLN
238183129	ZOR	PL01	1	1	PL01	E-M	02.08.2018	09:28:52	E0050029	117,88	PLN
238181813	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	07:54:28	E0650948	3242,02	CZK
145463105	ZOR	HU01	1	1	HU01	E-P	02.08.2018	13:55:09	RSBATCH	20274,00	HUF
238189058	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	13:45:51	E0650948	1922,12	CZK
238180848	ZOR	PL01	1	1	PL01	E-M	02.08.2018	08:04:19	E0651686	485,60	PLN
238183342	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:55:15	E0050029	134,88	PLN
145462377	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	13:57:46	E0653803	8395,45	CZK
238183349	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:56:49	E0050029	446,00	PLN
145465589	ZOR	HU01	1	1	HU01	E-P	02.08.2018	14:50:08	RSBATCH	220163,00	HUF
145450445	ZOR	HU01	1	1	HU01	INT	02.08.2018	06:50:28	RSBATCH	70562,00	HUF
238183141	ZOR	PL01	1	1	PL01	E-M	02.08.2018	09:51:44	E0050029	42,37	EUR
145455474	ZOR	PL01	1	1	PL01	INT	02.08.2018	09:55:15	RSBATCH	73,50	PLN
145462226	ZOR	HU01	1	1	HU01	INT	02.08.2018	13:30:52	RSBATCH	211200,00	HUF
238178413	ZOR	HU01	1	1	HU01	E-M	02.08.2018	09:55:32	E0654669	216000,00	HUF
145453042	ZOR	PL01	1	1	PL01	INT	02.08.2018	08:40:23	RSBATCH	749,70	PLN
238188028	ZOR	HU01	1	1	HU01	E-M	02.08.2018	13:08:56	E0654669	0,00	HUF
145461130	ZOR	HU01	1	1	HU01	INT	02.08.2018	13:10:14	RSBATCH	61464,00	HUF
145453382	ZOR	HU01	1	1	HU01	INT	02.08.2018	08:55:10	RSBATCH	23832,00	HUF
238180900	ZOR	PL01	1	1	PL01	E-M	02.08.2018	08:54:49	E0651686	1668,69	PLN
238178421	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	10:01:59	E0653803	424,46	CZK
145453784	ZOR	HU01	1	1	HU01	INT	02.08.2018	09:05:31	RSBATCH	3214,00	HUF
238180925	ZOR	PL01	1	1	PL01	E-M	02.08.2018	09:07:33	E0651686	385,43	PLN
145448409	ZOR	PL01	1	1	PL01	INT	02.08.2018	06:00:57	RSBATCH	1027,70	PLN
145459032	ZOR	HU01	1	1	HU01	PM	02.08.2018	11:55:19	RSBATCH	9357,00	HUF
238186565	ZOR	PL01	1	1	PL01	E-M	02.08.2018	10:11:25	E0651686	140,80	PLN
238186686	ZOR	PL01	1	1	PL01	E-M	02.08.2018	11:34:19	E0651686	91,98	PLN
145463373	ZOR	PL01	1	1	PL01	INT	02.08.2018	13:55:08	RSBATCH	64,26	PLN
145448840	ZOR	HU01	1	1	HU01	INT	02.08.2018	10:36:08	E0654669	16939,00	HUF
238178220	ZOR	HU01	1	1	HU01	EDI	02.08.2018	06:42:48	E0654669	1906222,00	HUF
238178475	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	10:50:05	E0653803	58830,59	CZK
238180839	ZOR	PL01	1	1	PL01	E-M	02.08.2018	07:59:28	E0651686	1857,25	PLN
145458127	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:33:08	E0653803	2603,00	CZK
238183177	ZOR	PL01	1	1	PL01	E-M	02.08.2018	11:12:34	E0050029	1010,00	PLN
145456849	ZOR	HU01	1	1	HU01	E-P	02.08.2018	11:25:10	RSBATCH	7297,00	HUF
238178494	ZOR	HU01	1	1	HU01	E-M	02.08.2018	11:30:00	E0654669	19200,00	HUF
145457398	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:19:53	E0653640	255,44	PLN
145446466	ZOR	HU01	1	1	HU01	INT	02.08.2018	06:00:57	RSBATCH	40840,00	HUF
145450185	ZOR	PL01	1	1	PL01	INT	02.08.2018	06:43:20	E0651686	154,78	PLN
145448695	ZOR	PL01	1	1	PL01	INT	02.08.2018	07:06:34	E0651686	214,15	PLN
238178228	ZOR	HU01	1	1	HU01	E-M	02.08.2018	05:53:07	E0654669	107445,00	HUF
145460238	ZOR	HU01	1	1	HU01	INT	02.08.2018	13:15:25	RSBATCH	28376,00	HUF
145450262	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	07:31:06	E0653803	200,28	CZK
145453503	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	09:01:28	E0653803	781,66	CZK
145453647	ZOR	HU01	1	1	HU01	INT	02.08.2018	09:05:33	RSBATCH	5166,00	HUF
238178311	ZOR	HU01	1	1	HU01	E-M	02.08.2018	05:59:50	E0654669	8000,00	HUF
238178300	ZOR	HU01	1	1	HU01	EDI	02.08.2018	08:16:43	E0654669	421,55	EUR
238182305	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	08:30:48	E0650948	1233,45	CZK
145457407	ZOR	HU01	1	1	HU01	INT	02.08.2018	11:05:19	RSBATCH	36892,00	HUF
145454259	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	09:16:23	RSBATCH	152,43	CZK
145446078	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	07:27:03	E0653803	4586,49	CZK
145451170	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	07:26:11	E0650948	69446,77	CZK
145462165	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:42:58	E0050029	1438,08	PLN
145462842	ZOR	PL01	1	1	PL01	INT	02.08.2018	13:46:17	RSBATCH	678,58	PLN
145453803	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:56:51	E0653640	327,04	PLN
145462567	ZOR	PL01	1	1	PL01	INT	02.08.2018	13:35:14	RSBATCH	540,08	PLN
238181818	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	07:59:15	E0650948	799,20	CZK
145465606	ZOR	HU01	1	1	HU01	INT	02.08.2018	14:50:10	RSBATCH	12232,00	HUF
145464953	ZOR	PL01	1	1	PL01	E-M	02.08.2018	14:54:31	E0653640	279,10	PLN
238188883	ZOR	PL01	1	1	PL01	E-M	02.08.2018	14:57:32	E0653640	10314,00	PLN
145456778	ZOR	HU01	1	1	HU01	INT	02.08.2018	10:40:15	RSBATCH	15689,00	HUF
145456877	ZOR	HU01	1	1	HU01	E-P	02.08.2018	10:45:35	RSBATCH	54869,00	HUF
238183339	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:54:41	E0050029	94,30	PLN
145460995	ZOR	HU01	1	1	HU01	INT	02.08.2018	13:10:17	RSBATCH	28665,00	HUF
145453070	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	08:40:23	RSBATCH	527,19	CZK
238182451	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	11:26:52	E0650948	1385,82	CZK
145453846	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:01:19	E0653640	46,29	PLN
145457460	ZOR	HU01	1	1	HU01	INT	02.08.2018	12:03:44	E0654669	13620,00	HUF
145456158	ZOR	PL01	1	1	PL01	E-M	02.08.2018	10:29:41	E0050029	3348,08	PLN
145455851	ZOR	HU01	1	1	HU01	E-P	02.08.2018	10:35:20	RSBATCH	227835,00	HUF
145459323	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:05:15	RSBATCH	419,30	CZK
145456742	ZOR	HU01	1	1	HU01	E-P	02.08.2018	10:35:23	RSBATCH	74925,00	HUF
145457229	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:04:24	E0653803	12086,44	CZK
145459394	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	12:09:33	E0650948	490,00	CZK
238186748	ZOR	PL01	1	1	PL01	E-M	02.08.2018	12:12:47	E0651686	501,06	PLN
145450093	ZOR	PL01	1	1	PL01	INT	02.08.2018	06:20:04	RSBATCH	925,09	PLN
145460901	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	12:55:06	RSBATCH	20681,78	CZK
145451201	ZOR	HU01	1	1	HU01	INT	02.08.2018	08:35:24	RSBATCH	115000,00	HUF
238186537	ZOR	PL01	1	1	PL01	TEL	02.08.2018	09:55:33	E0651686	101,22	PLN
145461523	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	13:10:07	RSBATCH	391,30	CZK
238183324	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:44:22	E0050029	2826,70	PLN
145449703	ZOR	HU01	1	1	HU01	INT	02.08.2018	06:00:59	RSBATCH	55169,00	HUF
238178489	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	11:20:40	E0653803	995,02	CZK
145459968	ZOR	HU01	1	1	HU01	INT	02.08.2018	13:46:12	E0654669	32611,00	HUF
145453766	ZOR	HU01	1	1	HU01	INT	02.08.2018	09:05:22	RSBATCH	12640,00	HUF
145458519	ZOR	HU01	1	1	HU01	PM	02.08.2018	11:35:19	RSBATCH	78365,00	HUF
145460000	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	12:30:25	RSBATCH	874,52	CZK
145450104	ZOR	HU01	1	1	HU01	E-P	02.08.2018	06:20:04	RSBATCH	24830,00	HUF
145453462	ZOR	HU01	1	1	HU01	INT	02.08.2018	08:55:13	RSBATCH	95338,00	HUF
145458873	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:50:19	RSBATCH	377,56	PLN
238188031	ZOR	HU01	1	1	HU01	E-P	02.08.2018	13:17:21	E0654669	2052,00	EUR
145450297	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	06:40:26	RSBATCH	12957,39	CZK
145448050	ZOR	PL01	1	1	PL01	INT	02.08.2018	06:55:54	E0651686	142,41	PLN
145453651	ZOR	HU01	1	1	HU01	E-P	02.08.2018	09:05:27	RSBATCH	1160,00	HUF
145447803	ZOR	PL01	1	1	PL01	INT	02.08.2018	06:50:14	E0651686	58,58	PLN
145449654	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	07:38:57	E0653803	2173,75	CZK
145455506	ZOR	HU01	1	1	HU01	E-P	02.08.2018	10:15:56	RSBATCH	131049,00	HUF
145455757	ZOR	HU01	1	1	HU01	E-P	02.08.2018	10:16:01	RSBATCH	81246,00	HUF
238183059	ZOR	PL01	1	1	PL01	E-M	02.08.2018	07:47:05	E0050029	648,12	PLN
145460363	ZOR	HU01	1	1	HU01	INT	02.08.2018	12:40:10	RSBATCH	94714,00	HUF
145450792	ZOR	PL01	1	1	PL01	INT	02.08.2018	07:10:35	RSBATCH	383,45	PLN
145459337	ZOR	PL01	1	1	PL01	E-M	02.08.2018	12:44:19	E0050029	178,00	PLN
145449302	ZOR	PL01	1	1	PL01	INT	02.08.2018	07:17:07	E0651686	35,58	PLN
238181809	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	07:52:02	E0650948	799,20	CZK
238180834	ZOR	PL01	1	1	PL01	E-M	02.08.2018	07:56:35	E0651686	392,46	PLN
145452203	ZOR	PL01	1	1	PL01	INT	02.08.2018	08:10:10	RSBATCH	2746,58	PLN
145450285	ZOR	HU01	1	1	HU01	E-P	02.08.2018	07:20:11	RSBATCH	53917,00	HUF
238178456	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	10:34:02	E0653803	1061,12	CZK
145454360	ZOR	HU01	1	1	HU01	E-P	02.08.2018	09:20:11	RSBATCH	7330,00	HUF
145454027	ZOR	CZ01	1	1	CZ01	EDI	02.08.2018	09:09:29	E0653803	513,96	CZK
238178375	ZOR	HU01	1	1	HU01	E-M	02.08.2018	09:18:56	E0654669	286315,00	HUF
145460936	ZOR	HU01	1	1	HU01	E-M	02.08.2018	12:52:36	E0654669	51200,00	HUF
145456204	ZOR	HU01	1	1	HU01	INT	02.08.2018	11:04:30	E0654669	35808,00	HUF
145449485	ZOR	HU01	1	1	HU01	INT	02.08.2018	06:10:14	RSBATCH	1887,00	HUF
238178386	ZOR	CZ01	1	1	CZ01	E-P	02.08.2018	09:28:35	E0653803	56,07	EUR
145406784	ZOR	PL01	1	1	PL01	INT	02.08.2018	06:42:53	E0651686	264,50	PLN
145455922	ZOR	HU01	1	1	HU01	INT	02.08.2018	10:16:05	RSBATCH	102182,00	HUF
145450993	ZOR	PL01	1	1	PL01	INT	02.08.2018	07:20:14	RSBATCH	322,31	PLN
145451688	ZOR	PL01	1	1	PL01	INT	02.08.2018	07:50:11	RSBATCH	358,10	PLN
238178218	ZOR	HU01	1	1	HU01	E-M	02.08.2018	06:39:55	E0654669	262000,00	HUF
145454820	ZOR	HU01	1	1	HU01	INT	02.08.2018	09:40:10	RSBATCH	12711,00	HUF
238178236	ZOR	HU01	1	1	HU01	E-M	02.08.2018	07:18:26	E0654669	133560,00	HUF
145462876	ZOR	CZ01	1	1	CZ01	PM	02.08.2018	13:46:12	RSBATCH	5460,27	CZK
145453388	ZOR	HU01	1	1	HU01	INT	02.08.2018	08:50:12	RSBATCH	32973,00	HUF
145449791	ZOR	HU01	1	1	HU01	E-P	02.08.2018	06:00:57	RSBATCH	61039,00	HUF
238183187	ZOR	PL01	1	1	PL01	E-M	02.08.2018	11:37:26	E0050029	1950,99	PLN
238186690	ZOR	PL01	1	1	PL01	E-M	02.08.2018	11:37:57	E0651686	153,84	PLN
238181815	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	07:57:45	E0650948	532,80	CZK
145465100	ZOR	HU01	1	1	HU01	INT	02.08.2018	14:46:00	RSBATCH	12844,00	HUF
238188038	ZOR	HU01	1	1	HU01	E-M	02.08.2018	13:54:30	E0654669	4588,00	HUF
238183152	ZOR	PL01	1	1	PL01	E-M	02.08.2018	10:13:05	E0050029	114,46	PLN
145453842	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	10:17:34	E0653803	454,98	CZK
145451693	ZOR	PL01	1	1	PL01	E-P	02.08.2018	10:18:14	E0651686	554,31	PLN
145458996	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:55:13	RSBATCH	1028,65	PLN
145458972	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	11:55:14	RSBATCH	24012,55	CZK
238178353	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	09:03:38	E0653803	1352,78	CZK
145453513	ZOR	HU01	1	1	HU01	E-P	02.08.2018	09:05:29	RSBATCH	912,00	HUF
145454354	ZOR	HU01	1	1	HU01	E-P	02.08.2018	11:07:18	E0654669	14306,00	HUF
145457300	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:18:45	E0653640	75,46	PLN
145457822	ZOR	PL01	1	1	PL01	INT	02.08.2018	13:55:40	E0653640	210,55	PLN
145457403	ZOR	HU01	1	1	HU01	INT	02.08.2018	11:05:17	RSBATCH	26166,00	HUF
145452386	ZOR	PL01	1	1	PL01	INT	02.08.2018	08:20:15	RSBATCH	621,46	PLN
238178448	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	10:29:36	E0653803	1355,96	CZK
145461335	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:27:06	E0050029	111,78	PLN
145449764	ZOR	HU01	1	1	HU01	INT	02.08.2018	10:40:49	E0654669	99534,00	HUF
145449821	ZOR	HU01	1	1	HU01	INT	02.08.2018	10:41:40	E0654669	61587,00	HUF
145451541	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:19:27	E0653640	382,31	PLN
238183243	ZOR	PL01	1	1	PL01	E-M	02.08.2018	12:39:48	E0050029	270,16	PLN
238182309	ZOR	CZ01	1	1	CZ01	E-M	02.08.2018	08:34:43	E0650948	33586,14	CZK
145452824	ZOR	HU01	1	1	HU01	E-P	02.08.2018	08:40:23	RSBATCH	18124,00	HUF
238183352	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:59:36	E0050029	401,60	PLN
238188890	ZOR	PL01	1	1	PL01	E-M	02.08.2018	15:01:07	E0653640	96,50	PLN
